BBH 019
UT 2022/04/12 COS/NUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
     --------------            ------------------             -----------------------
       975.62876               0.0000000                      0.0000000
       975.69465               0.0000000                      0.0000000
       975.76055               0.0000000                      0.0000000
       975.82644               0.0000000                      0.0000000
       975.89233               0.0000000                      0.0000000
       975.95823               0.0000000                      0.0000000
       976.02412               0.0000000                      0.0000000
       976.09002               0.0000000                      0.0000000
       976.15591               0.0000000                      0.0000000
       976.22181               0.0000000                      0.0000000
       976.28770               0.0000000                      0.0000000
       976.35360               0.0000000                      0.0000000
       976.41949               0.0000000                      0.0000000
       976.48539               0.0000000                      0.0000000
       976.55128               0.0000000                      0.0000000
       976.61718               0.0000000                      0.0000000
       976.68307               0.0000000                      0.0000000
       976.74896               0.0000000                      0.0000000
       976.81486               0.0000000                      0.0000000
       976.88075               0.0000000                      0.0000000
       976.94665               0.0000000                      0.0000000
       977.01254               0.0000000                      0.0000000
       977.07844               0.0000000                      0.0000000
       977.14433               0.0000000                      0.0000000
       977.21023               0.0000000                      0.0000000
       977.27612               0.0000000                      0.0000000
       977.34202               0.0000000                      0.0000000
       977.40791               0.0000000                      0.0000000
       977.47381               0.0000000                      0.0000000
       977.53970               0.0000000                      0.0000000
       977.60559               0.0000000                      0.0000000
       977.67149               0.0000000                      0.0000000
       977.73738               0.0000000                      0.0000000
       977.80328               0.0000000                      0.0000000
       977.86917               0.0000000                      0.0000000
       977.93507               0.0000000                      0.0000000
       978.00096               0.0000000                      0.0000000
       978.06686               0.0000000                      0.0000000
       978.13275               0.0000000                      0.0000000
       978.19865               0.0000000                      0.0000000
       978.26454               0.0000000                      0.0000000
       978.33044               0.0000000                      0.0000000
       978.39633               0.0000000                      0.0000000
       978.46223               0.0000000                      0.0000000
       978.52812               0.0000000                      0.0000000
       978.59401               0.0000000                      0.0000000
       978.65991               0.0000000                      0.0000000
       978.72580               0.0000000                      0.0000000
       978.79170               0.0000000                      0.0000000
       978.85759               0.0000000                      0.0000000
       978.92349               0.0000000                      0.0000000
       978.98938               0.0000000                      0.0000000
       979.05528               0.0000000                      0.0000000
       979.12117               0.0000000                      0.0000000
       979.18707               0.0000000                      0.0000000
       979.25296               0.0000000                      0.0000000
       979.31886               0.0000000                      0.0000000
       979.38475               0.0000000                      0.0000000
       979.45064               0.0000000                      0.0000000
       979.51654               0.0000000                      0.0000000
       979.58243               0.0000000                      0.0000000
       979.64833               0.0000000                      0.0000000
       979.71422               0.0000000                      0.0000000
       979.78012               0.0000000                      0.0000000
       979.84601               0.0000000                      0.0000000
       979.91191               0.0000000                      0.0000000
       979.97780               0.0000000                      0.0000000
       980.04370               0.0000000                      0.0000000
       980.10959               0.0000000                      0.0000000
       980.17549               0.0000000                      0.0000000
       980.24138               0.0000000                      0.0000000
       980.30727               0.0000000                      0.0000000
       980.37317               0.0000000                      0.0000000
       980.43906               0.0000000                      0.0000000
       980.50496               0.0000000                      0.0000000
       980.57085               0.0000000                      0.0000000
       980.63675               0.0000000                      0.0000000
       980.70264               0.0000000                      0.0000000
       980.76854               0.0000000                      0.0000000
       980.83443               0.0000000                      0.0000000
       980.90033               0.0000000                      0.0000000
       980.96622               0.0000000                      0.0000000
       981.03212               0.0000000                      0.0000000
       981.09801               0.0000000                      0.0000000
       981.16390               0.0000000                      0.0000000
       981.22980               0.0000000                      0.0000000
       981.29569               0.0000000                      0.0000000
       981.36159               0.0000000                      0.0000000
       981.42748               0.0000000                      0.0000000
       981.49338               0.0000000                      0.0000000
       981.55927               0.0000000                      0.0000000
       981.62517               0.0000000                      0.0000000
       981.69106               0.0000000                      0.0000000
       981.75696               0.0000000                      0.0000000
       981.82285               0.0000000                      0.0000000
       981.88875               0.0000000                      0.0000000
       981.95464               0.0000000                      0.0000000
       982.02053               0.0000000                      0.0000000
       982.08643               0.0000000                      0.0000000
       982.15232               0.0000000                      0.0000000
       982.21822               0.0000000                      0.0000000
       982.28411               0.0000000                      0.0000000
       982.35001               0.0000000                      0.0000000
       982.41590               0.0000000                      0.0000000
       982.48180               0.0000000                      0.0000000
       982.54769               0.0000000                      0.0000000
       982.61359               0.0000000                      0.0000000
       982.67948               0.0000000                      0.0000000
       982.74538               0.0000000                      0.0000000
       982.81127               0.0000000                      0.0000000
       982.87716               0.0000000                      0.0000000
       982.94306               0.0000000                      0.0000000
       983.00895               0.0000000                      0.0000000
       983.07485               0.0000000                      0.0000000
       983.14074               0.0000000                      0.0000000
       983.20664               0.0000000                      0.0000000
       983.27253               0.0000000                      0.0000000
       983.33843               0.0000000                      0.0000000
       983.40432               0.0000000                      0.0000000
       983.47022               0.0000000                      0.0000000
       983.53611               0.0000000                      0.0000000
       983.60201               0.0000000                      0.0000000
