BBH 019
UT 2022/04/12 COS/FUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
     --------------            ------------------             -----------------------
      -23.251755               0.0000000                      0.0000000
      -23.186763               0.0000000                      0.0000000
      -23.121771               0.0000000                      0.0000000
      -23.056779               0.0000000                      0.0000000
      -22.991787               0.0000000                      0.0000000
      -22.926795               0.0000000                      0.0000000
      -22.861803               0.0000000                      0.0000000
      -22.796810               0.0000000                      0.0000000
      -22.731818               0.0000000                      0.0000000
      -22.666826               0.0000000                      0.0000000
      -22.601834               0.0000000                      0.0000000
      -22.536842               0.0000000                      0.0000000
      -22.471850               0.0000000                      0.0000000
      -22.406858               0.0000000                      0.0000000
      -22.341866               0.0000000                      0.0000000
      -22.276874               0.0000000                      0.0000000
      -22.211882               0.0000000                      0.0000000
      -22.146890               0.0000000                      0.0000000
      -22.081898               0.0000000                      0.0000000
      -22.016906               0.0000000                      0.0000000
      -21.951913               0.0000000                      0.0000000
      -21.886921               0.0000000                      0.0000000
      -21.821929               0.0000000                      0.0000000
      -21.756937               0.0000000                      0.0000000
      -21.691945               0.0000000                      0.0000000
      -21.626953               0.0000000                      0.0000000
      -21.561961               0.0000000                      0.0000000
      -21.496969               0.0000000                      0.0000000
      -21.431977               0.0000000                      0.0000000
      -21.366985               0.0000000                      0.0000000
      -21.301993               0.0000000                      0.0000000
      -21.237001               0.0000000                      0.0000000
      -21.172008               0.0000000                      0.0000000
      -21.107016               0.0000000                      0.0000000
      -21.042024               0.0000000                      0.0000000
      -20.977032               0.0000000                      0.0000000
      -20.912040               0.0000000                      0.0000000
      -20.847048               0.0000000                      0.0000000
      -20.782056               0.0000000                      0.0000000
      -20.717064               0.0000000                      0.0000000
      -20.652072               0.0000000                      0.0000000
      -20.587080               0.0000000                      0.0000000
      -20.522088               0.0000000                      0.0000000
      -20.457096               0.0000000                      0.0000000
      -20.392104               0.0000000                      0.0000000
      -20.327111               0.0000000                      0.0000000
      -20.262119               0.0000000                      0.0000000
      -20.197127               0.0000000                      0.0000000
      -20.132135               0.0000000                      0.0000000
      -20.067143               0.0000000                      0.0000000
      -20.002151               0.0000000                      0.0000000
      -19.937159               0.0000000                      0.0000000
      -19.872167               0.0000000                      0.0000000
      -19.807175               0.0000000                      0.0000000
      -19.742183               0.0000000                      0.0000000
      -19.677191               0.0000000                      0.0000000
      -19.612199               0.0000000                      0.0000000
      -19.547206               0.0000000                      0.0000000
      -19.482214               0.0000000                      0.0000000
      -19.417222               0.0000000                      0.0000000
      -19.352230               0.0000000                      0.0000000
      -19.287238               0.0000000                      0.0000000
      -19.222246               0.0000000                      0.0000000
      -19.157254               0.0000000                      0.0000000
      -19.092262               0.0000000                      0.0000000
      -19.027270               0.0000000                      0.0000000
      -18.962278               0.0000000                      0.0000000
      -18.897286               0.0000000                      0.0000000
      -18.832294               0.0000000                      0.0000000
      -18.767302               0.0000000                      0.0000000
      -18.702309               0.0000000                      0.0000000
      -18.637317               0.0000000                      0.0000000
      -18.572325               0.0000000                      0.0000000
      -18.507333               0.0000000                      0.0000000
      -18.442341               0.0000000                      0.0000000
      -18.377349               0.0000000                      0.0000000
      -18.312357               0.0000000                      0.0000000
      -18.247365               0.0000000                      0.0000000
      -18.182373               0.0000000                      0.0000000
      -18.117381               0.0000000                      0.0000000
      -18.052389               0.0000000                      0.0000000
      -17.987397               0.0000000                      0.0000000
      -17.922404               0.0000000                      0.0000000
      -17.857412               0.0000000                      0.0000000
      -17.792420               0.0000000                      0.0000000
      -17.727428               0.0000000                      0.0000000
      -17.662436               0.0000000                      0.0000000
      -17.597444               0.0000000                      0.0000000
      -17.532452               0.0000000                      0.0000000
      -17.467460               0.0000000                      0.0000000
      -17.402468               0.0000000                      0.0000000
      -17.337476               0.0000000                      0.0000000
      -17.272484               0.0000000                      0.0000000
      -17.207492               0.0000000                      0.0000000
      -17.142500               0.0000000                      0.0000000
      -17.077507               0.0000000                      0.0000000
      -17.012515               0.0000000                      0.0000000
      -16.947523               0.0000000                      0.0000000
      -16.882531               0.0000000                      0.0000000
      -16.817539               0.0000000                      0.0000000
      -16.752547               0.0000000                      0.0000000
      -16.687555               0.0000000                      0.0000000
      -16.622563               0.0000000                      0.0000000
      -16.557571               0.0000000                      0.0000000
      -16.492579               0.0000000                      0.0000000
      -16.427587               0.0000000                      0.0000000
      -16.362595               0.0000000                      0.0000000
      -16.297602               0.0000000                      0.0000000
      -16.232610               0.0000000                      0.0000000
      -16.167618               0.0000000                      0.0000000
      -16.102626               0.0000000                      0.0000000
      -16.037634               0.0000000                      0.0000000
